N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
摊,tān,spread out/open/apportion,手,13,6,2844,2154.0,tan1,tan
嘱,zhǔ,order/tell/instruct/leave word,口,15,6,3253,2156.0,zhu3,zhu
衷,zhōng,,衣,10,6,2020,2157.0,zhong1,zhong
娇,jiāo,seductive and loveable/tender,女,9,6,1739,2158.0,jiao1,jiao
讶,yà,express surprise/be surprised,言,6,6,553,2162.0,ya4,ya
耸,sǒng,urge on/rise up/stir/excite,耳,10,6,1984,2163.0,song3,song
摧,cuī,destroy/break/injure,手,14,6,3057,2166.0,cui1,cui
薪,xīn,fuel/firewood/salary,艸,16,6,3325,2167.0,xin1,xin
淋,lín,drip/soak/drench/perfectly,水,11,6,2413,2168.0,lin2,lin
耻,chǐ,shame/humiliation/ashamed,耳,10,6,1816,2169.0,chi3,chi
饥,jī,hunger/starving/hungry/a famine,食,5,6,299,2173.0,ji1,ji
崩,bēng,rupture/split apart/collapse,山,11,6,2298,2178.0,beng1,beng
逢,féng,come upon/happen meet/flatter,辵,10,6,2007,2181.0,feng2,feng
撑,chēng,prop up/support/brace,手,15,6,3196,2183.0,cheng1,cheng
翔,xiáng,soar/glide/hover/detailed,羽,12,6,2739,2184.0,xiang2,xiang
枯,kū,dried out/withered/decayed,木,9,6,1427,2188.0,ku1,ku
凑,còu,piece together/assemble,冫,11,6,2374,2193.0,cou4,cou
溪,xī,mountain stream/creek,水,13,6,3012,2194.0,xi1,xi
蠢,chǔn,wriggle/stupid/silly/fat,虫,21,6,3488,2195.0,chun3,chun
阐,chǎn,explain/clarify/elucidate,門,11,6,2397,2197.0,chan3,chan
旺,wàng,prosper/prosperous/increase,日,8,6,1076,2198.0,wang4,wang
碑,bēi,stone tablet/gravestone,石,13,6,2878,2203.0,bei1,bei
挪,nuó,move/shift on one side,手,9,6,1397,2204.0,nuo2,nuo
脂,zhī,fat/grease/lard/grease,肉,10,6,1995,2206.0,zhi1,zhi
谎,huǎng,lie,言,11,6,2461,2207.0,huang3,huang
慨,kǎi,sigh/regret/generous,心,12,6,2778,2208.0,kai3,kai
掘,jué,dig/excavate/excavate cave,手,11,6,2190,2212.0,jue2,jue
逮,dǎi,seize/catch/reach/arrive,辵,11,6,2469,2216.0,dai4,dai
掏,tāo,take out/pull out/clean out,手,11,6,2180,2218.0,tao1,tao
晰,xī,clear/evident/clearly,日,12,6,2615,2220.0,xi1,xi
罕,hǎn,rare/scarce/surname,网,7,6,895,2221.0,han3,han
挽,wǎn,pull/pull back/draw back,手,10,6,1807,2222.0,wan3,wan
舟,zhōu,boat/ship/KangXi radical 137,舟,6,6,484,2224.0,zhou1,zhou
骚,sāo,harass/bother/annoy/disturb,馬,12,6,2823,2237.0,sao1,sao
拓,tà,expand/open up/support or push,手,8,6,957,2238.0,tuo4,tuo
坑,kēng,pit/hole/bury/trap/harry,土,7,6,645,2242.0,keng1,keng
兆,zhào,omen/million/mega/also trillion. China = million/Japan and Taiwan = trillion,儿,6,6,489,2246.0,zhao4,zhao
崖,yá,cliff/precipice/precipitous,山,11,6,2292,2247.0,ya2,ya
刹,shā,temple/shrine/monastary,刀,8,6,1167,2249.0,cha4,cha
芒,máng,Miscanthus sinensis,艸,6,6,372,2251.0,mang2,mang
筋,jīn,muscles/tendons,竹,12,6,2688,2252.0,jin1,jin
棍,gùn,stick/cudgel/scoundrel,木,12,6,2572,2255.0,gun4,gun
钩,gōu,hook/barb/sickle/stroke with,金,9,6,1534,2254.0,gou1,gou
嚷,rǎng,shout/brawl/make uproar/cry,口,20,6,3480,2256.0,rang3,rang
弦,xián,string/hypotenuse/crescent,弓,8,6,1314,2258.0,xian2,xian
焰,yàn,flame/blaze/glowing/blazing,火,12,6,2748,2259.0,yan4,yan
耍,shuǎ,frolic/play/amuse/play with,而,9,6,1457,2260.0,shua3,shua
俯,fǔ,bow down/face down/look down,人,10,6,1966,2261.0,fu3,fu
愣,lèng,be in a daze,心,12,6,2774,2263.0,leng4,leng
饶,ráo,bountiful/abundant/plentiful,食,9,6,1611,2266.0,rao2,rao
钉,dīng,nail/spike/pursue closely,金,7,6,758,2267.0,ding1,ding
叠,dié,pile/be piled up/fold up,又,13,6,3043,2271.0,die2,die
惹,rě,irritate/vex/offend/incite,心,12,6,2547,2272.0,re3,re
喻,yù,metaphor/analogy/example/like,口,12,6,2644,2273.0,yu4,yu
谱,pǔ,list/table/musical score,言,14,6,3181,2274.0,pu3,pu
煌,huáng,bright/shining/luminous,火,13,6,3004,2276.0,huang2,huang
溶,róng,to melt/dissolve/overflowing with,水,13,6,3019,2278.0,rong2,rong
坠,zhuì,fall down/drop/sink/go to ruin,土,7,6,917,2279.0,zhui4,zhui
滥,làn,flood/overflow/excessive,水,13,6,3010,2282.0,lan4,lan
瓷,cí,crockery/porcelain/chinaware,瓦,10,6,2038,2285.0,ci2,ci
浴,yù,bathe/wash/bath,水,10,6,2076,2290.0,yu4,yu
屁,pì,break wind/fart/buttocks,尸,7,6,903,2295.0,pi4,pi
漆,qī,varnish/lacquer/paint,水,14,6,3161,2296.0,qi1,qi
巢,cháo,nest/living quarter in tree,巛,11,6,2500,2298.0,chao2,chao
吩,fēn,order/command/instruct,口,7,6,741,2299.0,fen1,fen
啸,xiào,roar/howl/scream/whistle,口,11,6,2291,2301.0,xiao4,xiao
滞,zhì,block up/obstruct/stagnant,水,12,6,2750,2302.0,zhi4,zhi
膝,xī,knee,肉,15,6,3274,2307.0,xi1,xi
茂,mào,thick/lush/dense/talented,艸,8,6,1003,2309.0,mao4,mao
恕,shù,forgive/excuse/show mercy,心,10,6,2142,2314.0,shu4,shu
渠,qú,ditch/canal/channel/gutter,水,11,6,2416,2315.0,qu2,qu
辰,chén,early morning/5th terrestrial branch,辰,7,6,701,2317.0,chen2,chen
舶,bó,large/ocean-going vessel,舟,11,6,2344,2318.0,bo2,bo
颁,bān,confer/bestow/publish/promulgate,頁,10,6,1990,2319.0,ban1,ban
袍,páo,long gown/robe/cloak,衣,10,6,2117,2324.0,pao2,pao
嘲,cháo,ridicule/deride/scorn/jeer at,口,15,6,3238,2325.0,chao2,chao
衔,xián,bit/hold in mouth/bite/gag,彳,11,6,2342,2328.0,xian2,xian
倦,juàn,be tired of/weary,人,10,6,1968,2329.0,juan4,juan
涵,hán,soak/wet/tolerate/be lenient,水,11,6,2434,2330.0,han2,han
雀,què,sparrow,隹,11,6,2255,2331.0,que4,que
僵,jiāng,stiff and motionless/stock still,人,15,6,3269,2333.0,jiang1,jiang
肢,zhī,human limbs/animal feet,肉,8,6,1182,2335.0,zhi1,zhi
垄,lǒng,grave/mound/ridge in field,龍,8,6,1055,2336.0,long3,long
侨,qiáo,sojourn/lodge,人,8,6,1149,2340.0,qiao2,qiao
舆,yú,cart/palanquin/sedan chair,八,14,6,3125,2341.0,yu2,yu
弊,bì,evil/wrong/bad/criminal,廾,14,6,3156,2348.0,bi4,bi
凄,qī,bitter cold/miserable/dreary,冫,10,6,2015,2352.0,qi1,qi
捧,pěng,hold up in two hands,手,11,6,2160,2353.0,peng3,peng
浸,jìn,soak/immerse/dip/percolate,水,10,6,2085,2354.0,jin4,jin
砖,zhuān,tile/brick,石,9,6,1447,2355.0,zhuan1,zhuan
蒸,zhēng,steam/evaporate,艸,13,6,2860,2358.0,zheng1,zheng
陡,dǒu,steep/sloping/abruptly/sudden,阜,9,6,1727,2362.0,dou3,dou
哑,yǎ,dumb/mute/become hoarse,口,9,6,1484,2368.0,ya3,ya
坟,fén,grave/mound/bulge/bulging,土,7,6,644,2370.0,fen2,fen
眨,zhǎ,wink,目,9,6,1481,2371.0,zha3,zha
搏,bó,seize/spring upon/strike,手,13,6,2835,2372.0,bo2,bo
拢,lǒng,collect/bring together,手,8,6,958,2374.0,long3,long
昧,mèi,obscure/dark/darken,日,9,6,1477,2376.0,mei4,mei
擅,shàn,monopolize/claim/arbitrarily/to dare,手,16,6,3318,2377.0,shan4,shan
爽,shuǎng,happy/cheerful/refreshing,爻,11,6,2244,2378.0,shuang3,shuang
搁,gē,place/put/lay down/delay,手,12,6,2533,2380.0,ge1,ge
雌,cí,female/feminine/gentle/soft,隹,14,6,3098,2382.0,ci2,ci
哨,shào,whistle/blow whistle/chirp,口,10,6,1904,2383.0,shao4,shao
巩,gǒng,bind/firm/secure/strong,工,6,6,361,2384.0,gong3,gong
昔,xī,formerly/ancient/in beginning,日,8,6,1000,2388.0,xi1,xi
谬,miù,error/exaggeration/erroneous,言,13,6,3034,2390.0,miu4,miu
谍,dié,an intelligence report/to spy/spying,言,11,6,2460,2391.0,die2,die
媳,xí,daughter-in-law,女,13,6,3039,2393.0,xi2,xi
冤,yuān,grievance/injustice/wrong,冖,10,6,2124,2396.0,yuan1,yuan
鸦,yā,crow/Corvus species (various),鳥,9,6,1464,2397.0,ya1,ya
蓬,péng,type of raspberry/fairyland,艸,13,6,2855,2398.0,peng2,peng
巷,xiàng,alley/lane,己,9,6,1406,2399.0,xiang4,xiang
栽,zāi,to cultivate/plant/to care for plants,木,10,6,1782,2401.0,zai1,zai
沾,zhān,moisten/wet/soak/touch,水,8,6,1245,2402.0,zhan1,zhan
诈,zhà,cheat/defraud/swindle/trick,言,7,6,893,2403.0,zha4,zha
瞒,mán,deceive/lie/eyes half-closed,目,15,6,3232,2405.0,man2,man
纺,fǎng,spin/reel/weave/reeled pongee,糸,7,6,940,2409.0,fang3,fang
罐,guàn,jar/jug/pitcher/pot,缶,23,6,3499,2410.0,guan4,guan
壤,rǎng,soil/loam/earth/rich,土,20,6,3474,2412.0,rang3,rang
颂,sòng,laud/acclaim/hymn/ode,頁,10,6,1991,2414.0,song4,song
膨,péng,to swell/swollen/bloated/inflated,肉,16,6,3364,2415.0,peng2,peng
谐,xié,harmonize/agree/joke/jest,言,11,6,2462,2416.0,xie2,xie
隙,xì,crack/split/fissure/grudge,阜,12,6,2806,2419.0,xi4,xi
绑,bǎng,bind/tie/fasten,糸,9,6,1752,2421.0,bang3,bang
嘿,hēi,be silent/be quiet,口,15,6,3252,2423.0,hei1,mo
挫,cuò,push down/chop down/grind,手,10,6,1805,2426.0,cuo4,cuo
辐,fú,spokes of wheel,車,13,6,2888,2428.0,fu2,fu
乞,qǐ,beg/request,乙,3,6,42,2429.0,qi3,qi
哇,wa,vomit/cry of an infant,口,9,6,1482,2433.0,wa1,wa
绣,xiù,embroider/embroidery/ornament,糸,10,6,2151,2434.0,xiu4,xiu
杖,zhàng,cane/walking stick,木,7,6,683,2435.0,zhang4,zhang
衍,yǎn,overflow/spill over/spread out,行,9,6,1582,2437.0,yan3,yan
攀,pān,climb/pull/hang on to,手,19,6,3456,2439.0,pan1,pan
譬,pì,metaphor/simile/example,言,20,6,3487,2441.0,pi4,pi
肆,sì,indulge/excess/numeral four/particle meaning now/therefore/shop,聿,13,6,2831,2445.0,si4,si
泣,qì,cry/sob/weep,水,8,6,1253,2449.0,qi4,qi
屡,lǚ,frequently/often/again and again,尸,12,6,2801,2450.0,lv3,lu
躁,zào,tense/excited/irritable,足,20,6,3477,2451.0,zao4,zao
椎,chuí,hammer/mallet/vertebra,木,12,6,2573,2455.0,zhui1,zhui
砸,zá,smash/crush/break/pound/mash,石,10,6,1863,2456.0,za2,za
帆,fān,sail/boat,巾,6,6,437,2459.0,fan1,fan
窜,cuàn,run away/revise/edit/expel,穴,12,6,2783,2461.0,cuan4,cuan
丸,wán,small round object/pellet/pill,丶,3,6,51,2462.0,wan2,wan
斩,zhǎn,cut/chop/sever/behead,車,8,6,1060,2463.0,zhan3,zhan
堤,dī,dike,土,12,6,2519,2464.0,di1,di
塌,tā,fall in ruins/collapse,土,13,6,2836,2465.0,ta1,ta
贩,fàn,peddler/hawker/street merchant,貝,8,6,1115,2466.0,fan4,fan
掀,xiān,lift/raise/stir,手,11,6,2176,2468.0,xian1,xian
谜,mí,riddle/conundrum/puzzle,言,11,6,2468,2471.0,mi2,mi
捏,niē,pick with fingers/knead/mold,手,10,6,1793,2472.0,nie1,nie
滨,bīn,beach/sea coast/river bank,水,13,6,3018,2474.0,bin1,bin
虏,lǔ,to capture/imprison/seize/a prison,虍,8,6,1072,2475.0,lu3,lu
卸,xiè,lay down/retire from office,卩,9,6,1536,2479.0,xie4,xie
沼,zhǎo,lake/fishpond/swamps,水,8,6,1260,2480.0,zhao3,zhao
株,zhū,numerary adjunct for trees/root,木,10,6,1840,2482.0,zhu1,zhu
剖,pōu,split in two/slice/dissect,刀,10,6,2042,2484.0,pou1,pou
劈,pī,cut apart/split/chop,刀,15,6,3311,2487.0,pi1,pi
哗,huā,rushing sound/gush forward,口,9,6,1507,2486.0,hua1,hua
怯,qiè,lacking in courage/afraid,心,8,6,1266,2488.0,qie4,qie
沫,mò,froth/foam/bubbles/suds,水,8,6,1239,2495.0,mo4,mo
竖,shù,perpendicular/vertical/erect,立,9,6,1473,2505.0,shu4,shu
峻,jùn,high/steep/towering/stern,山,10,6,1923,2506.0,jun4,jun
捞,lāo,scoop out of water/dredge/fish,手,10,6,1781,2508.0,lao1,lao
鄙,bǐ,mean/low,邑,13,6,2903,2510.0,bi3,bi
魄,pò,vigor/body/dark part of moon,鬼,14,6,3129,2511.0,po4,po
兜,dōu,pouch,儿,11,6,2336,2512.0,dou1,dou
哄,hōng,coax/beguile/cheat/deceive,口,9,6,1483,2513.0,hong1,hong
颖,yǐng,rice tassel/sharp point/clever,頁,13,6,2979,2514.0,ying3,ying
屑,xiè,bits/scraps/crumbs/fragments,尸,10,6,2133,2516.0,xie4,xie
蚁,yǐ,ants,虫,9,6,1499,2517.0,yi3,yi
渗,shèn,soak through/infiltrate,水,11,6,2437,2520.0,shen4,shen
秃,tū,bald,禾,7,6,764,2521.0,tu1,tu
旱,hàn,drought/dry/dry land,日,7,6,714,2523.0,han4,han
谴,qiǎn,reprimand/scold/abuse,言,15,6,3307,2527.0,qian3,qian
稻,dào,rice growing in field/rice plant,禾,15,6,3261,2529.0,dao4,dao
铸,zhù,melt/cast/coin/mint,金,12,6,2656,2530.0,zhu4,zhu
恍,huǎng,seemingly/absent-minded,心,9,6,1687,2535.0,huang3,huang
贬,biǎn,decrease/lower/censure/criticize,貝,8,6,1116,2536.0,bian3,bian
烛,zhú,candle/taper/shine/illuminate,火,10,6,2061,2537.0,zhu2,zhu
朽,xiǔ,decayed/rotten/rot/decay,木,6,6,375,2544.0,xiu3,xiu
佣,yōng,commission fee,人,7,6,780,2546.0,yong4,yong
碌,lù,rough/uneven/rocky/mediocre,石,13,6,2882,2548.0,lu4,lu
迄,qì,extend/reach/until/till,辵,6,6,453,2549.0,qi4,qi
绅,shēn,girdle/tie/bind/gentry,糸,8,6,1339,2554.0,shen1,shen
榜,bǎng,placard/list of successful exam candidates,木,14,6,3081,2556.0,bang3,bang
诵,sòng,recite/chant/repeat,言,9,6,1718,2557.0,song4,song
禽,qín,birds/fowl/surname;/capture,禸,12,6,2711,2562.0,qin2,qin
瞄,miáo,take aim at/look at,目,13,6,2898,2565.0,miao2,miao
幢,chuáng,carriage curtain/sun screen,巾,15,6,3254,2566.0,chuang2,chuang
睹,dǔ,look at/gaze at/observe,目,13,6,2896,2568.0,du3,du
贿,huì,bribe/bribes/riches/wealth,貝,10,6,1925,2569.0,hui4,hui
蔑,miè,disdain/disregard/slight,艸,14,6,3070,2575.0,mie4,mie
缚,fù,to tie,糸,13,6,3044,2577.0,fu2,fu
淹,yān,drown/cover with liquid/steep,水,11,6,2415,2580.0,yan1,yan
篷,péng,awning/covering/sail/boat,竹,16,6,3359,2579.0,peng2,peng
勘,kān,investigate/compare/collate,力,11,6,2195,2585.0,kan1,kan
灿,càn,vivid/illuminating/bright,火,7,6,852,2591.0,can4,can
敞,chǎng,roomy/spacious/open/broad,攴,12,6,2607,2592.0,chang3,chang
蜡,là,wax/candle/waxy/glazed/maggot/as a non-simplified form sometimes used as an equivalent to 䄍/meaning imperial harvest,虫,14,6,3106,2593.0,la4,zha
辜,gū,crime/criminal offense,辛,12,6,2560,2596.0,gu1,gu
垫,diàn,advance money/pay for another,土,9,6,1390,2597.0,dian4,dian
妒,dù,jealous/envious,女,7,6,923,2598.0,du4,du
谣,yáo,sing/folksong/ballad/rumor,言,12,6,2796,2600.0,yao2,yao
枕,zhěn,pillow,木,8,6,1033,2605.0,zhen3,zhen
丐,gài,beggar/beg/give,一,4,6,84,2606.0,gai4,gai
泌,mì,to seep out/excrete,水,8,6,1256,2609.0,mi4,mi
叮,dīng,exhort or enjoin repeatedly,口,5,6,241,2611.0,ding1,ding
掷,zhì,throw/hurl/cast/fling,手,11,6,2186,2614.0,zhi2,zhi
侮,wǔ,insult/ridicule/disgrace,人,9,6,1566,2621.0,wu3,wu
蚀,shí,nibble away/erode/eclipse,食,9,6,1612,2625.0,shi2,shi
霜,shuāng,frost/crystallized/candied,雨,17,6,3399,2631.0,shuang1,shuang
蕴,yùn,to collect/gather/store/profound,艸,15,6,3212,2633.0,yun4,yun
妆,zhuāng,to adorn oneself/dress up/use make-up,女,6,6,512,2639.0,zhuang1,zhuang
捆,kǔn,tie up/bind/truss up/bundle,手,10,6,1796,2640.0,kun3,kun
丙,bǐng,third/3rd heavenly stem,一,5,6,213,2645.0,bing3,bing
钞,chāo,paper money/bank notes/copy,金,9,6,1527,2647.0,chao1,chao
犬,quǎn,dog/radical number 94,犬,4,6,92,2649.0,quan3,quan
躬,gōng,body/personally/in person,身,10,6,1972,2650.0,gong1,gong
昼,zhòu,daytime/daylight,尸,9,6,1723,2651.0,zhou4,zhou
奠,diàn,pay respect/settle,大,12,6,2744,2656.0,dian4,dian
蹈,dǎo,stamp feet/dance,足,17,6,3409,2659.0,dao3,dao
陋,lòu,narrow/crude/coarse/ugly,阜,8,6,1317,2660.0,lou4,lou
侣,lǚ,companion/associate with,人,8,6,1146,2661.0,lv3,lu
侄,zhí,nephew,人,8,6,1144,2664.0,zhi2,zhi
虐,nüè,cruel/harsh/oppressive,虍,9,6,1470,2665.0,nve4,nue
堕,duò,fall/sink/let fall/degenerate,土,11,6,2475,2666.0,duo4,duo
茎,jīng,stem/stalk,艸,8,6,1014,2675.0,jing1,jing
喇,lǎ,horn/bugle/lama/final particle,口,12,6,2621,2677.0,la3,la
绒,róng,silk/cotton/or woolen fabric,糸,9,6,1753,2678.0,rong2,rong
搅,jiǎo,disturb/agitate/stir up,手,12,6,2536,2679.0,jiao3,jiao
缔,dì,tie/join/connect/connection,糸,12,6,2819,2688.0,di4,di
嫉,jí,jealousy/be jealous of,女,13,6,3040,2690.0,ji2,ji
灶,zào,kitchen stove/cooking stove,火,7,6,851,2691.0,zao4,zao
鸽,gē,pigeon/dove/Columba species (various),鳥,11,6,2349,2694.0,ge1,ge
纬,wěi,woof/parallels of latitude,糸,7,6,929,2697.0,wei3,wei
沸,fèi,boil/bubble up/gush,水,8,6,1259,2698.0,fei4,fei
畴,chóu,farmland/arable land/category,田,12,6,2627,2699.0,chou2,chou
遏,è,stop/suppress/curb/check/a bar,辵,12,6,2624,2701.0,e4,e
烁,shuò,shine/glitter/sparkle,火,9,6,1657,2702.0,shuo4,shuo
嗅,xiù,smell/scent/sniff/olfactive,口,13,6,2927,2703.0,xiu4,xiu
叭,bā,trumpet,口,5,6,247,2704.0,ba1,ba
奢,shē,extravagant/wasteful/exaggerate,大,11,6,2242,2708.0,she1,she
拙,zhuō,stupid/clumsy/crude/convention,手,8,6,987,2709.0,zhuo2,zhuo
栋,dòng,main beams supporting house,木,9,6,1429,2710.0,dong4,dong
泻,xiè,drain off/leak/flow/pour down,水,8,6,1255,2715.0,xie4,xie
晤,wù,have interview with/meet,日,11,6,4813,2719.0,wu4,wu
稚,zhì,young/immature/childhood,禾,13,6,2948,2720.0,zhi4,zhi
捣,dǎo,hull/thresh/beat/attack,手,10,6,1811,2723.0,dao3,dao
尴,gān,embarrassed/ill at ease,尢,13,6,2883,2726.0,gan1,gan
尬,gà,limp/staggering gait/embarrass,尢,7,6,705,2729.0,ga4,ga
诧,chà,be surprised/be shocked,言,8,6,4057,2728.0,cha4,cha
嚼,jué,prattle/be glib,口,20,6,3479,2731.0,jiao2,jiao
旷,kuàng,extensive/wide/broad/empty,日,7,6,727,2735.0,kuang4,kuang
芽,yá,bud/sprout/shoot,艸,7,6,664,2737.0,ya2,ya
碳,tàn,carbon,石,14,6,3092,2740.0,tan4,tan
惕,tì,be cautious/careful/alert,心,11,6,2443,2742.0,ti4,ti
汹,xiōng,turbulent/noisy/restless,水,7,6,864,2746.0,xiong1,xiong
腥,xīng,raw meat/rank/strong-smelling,肉,13,6,2970,2747.0,xing1,xing
澄,chéng,purify water by allowing sediment to settle/clear/pure,水,15,6,3299,2756.0,cheng2,cheng
萎,wēi,wither/wilt,艸,11,6,2206,2757.0,wei1,wei
滔,tāo,overflow/rushing water/a torrent,水,13,6,3011,2760.0,tao1,tao
酿,niàng,brew/ferment,酉,14,6,3088,2764.0,niang4,niang
诫,jiè,warn/admonish/warning,言,9,6,1704,2770.0,jie4,jie
棕,zōng,hemp palm/palm tree,木,12,6,2576,2774.0,zong1,zong
喧,xuān,lively/noisy/clamor/talk loudly,口,12,6,2646,2778.0,xuan1,xuan
伺,cì,serve/wait upon/attend/examine,人,7,6,788,2782.0,si4,si
梢,shāo,pointed tip of something long like a branch/rudder,木,11,6,2225,2785.0,shao1,shao
坝,bà,embankment/dam,土,7,6,629,2786.0,ba4,ba
敷,fū,spread/diffuse/apply/paint,攴,15,6,3219,2788.0,fu1,fu
庇,bì,cover/shield/shelter/protect,广,7,6,833,2793.0,bi4,bi
挠,náo,scratch/disturb/bother/submit,手,9,6,1375,2794.0,nao2,nao
搂,lǒu,hug/embrace/drag/pull,手,12,6,2535,2795.0,lou3,lou
噪,zào,be noisy/chirp loudly,口,16,6,3349,2799.0,zao4,zao
稼,jià,sow grain/sheaves of grain,禾,15,6,3264,2800.0,jia4,jia
寝,qǐn,sleep/rest/bed chamber,宀,13,6,3029,2806.0,qin3,qin
哺,bǔ,chew food/feed,口,10,6,1894,2810.0,bu3,bu
帜,zhì,flag/pennant/sign/fasten,巾,8,6,1109,2813.0,zhi4,zhi
揉,róu,rub/massage/crush by hand,手,12,6,2540,2818.0,rou2,rou
腻,nì,greasy/oily/dirty/smooth,肉,13,6,2968,2819.0,ni4,ni
瘫,tān,paralysis/palsy/numbness,疒,15,6,3283,2823.0,tan1,tan
觅,mì,seek/search,爪,8,6,1173,2825.0,mi4,mi
僻,pì,out-of-the-way/remote/unorthodox,人,15,6,3271,2827.0,pi4,pi
蔓,màn,creeping plants/tendrils/vines,艸,14,6,3069,2829.0,man4,man
咋,zǎ,question-forming particle/why? how? what?/to bite/loud,口,8,6,1097,2830.0,zha4,zha
嵌,qiàn,inlay/set in/fall into/rugged,山,12,6,2647,2831.0,qian4,qian
畔,pàn,boundary path dividing fields,田,10,6,1899,2833.0,pan4,pan
涩,sè,astringent/harsh/uneven/rough,水,10,6,2088,2836.0,se4,se
蹦,bèng,hop/leap/jump/bright,足,18,6,3442,2839.0,beng4,beng
叨,dāo,talkative/quarrelous,口,5,6,255,2844.0,tao1,tao
呕,ǒu,vomit/annoy/enrage,口,7,6,725,2855.0,ou1,ou
凸,tū,protrude/bulge out/convex,凵,5,6,229,2857.0,tu1,tu
熄,xī,put out/extinguish/quash,火,14,6,3157,2858.0,xi2,xi
裳,shang,clothes/skirt/beautiful,衣,14,6,3099,2861.0,chang2,chang
凹,āo,concave/hollow/depressed/a pass/valley,凵,5,6,260,2862.0,ao1,ao
膛,táng,chest/hollow space/cavity,肉,15,6,3275,2865.0,tang2,tang
聋,lóng,deaf,耳,11,6,2245,2873.0,long2,long
沮,jǔ,stop/prevent/defeated/dejected,水,8,6,1247,2878.0,ju1,ju
萌,méng,bud/sprout,艸,11,6,2203,2879.0,meng2,meng
撇,piē,discard/abandon/throw away,手,14,6,3064,2882.0,pie1,pie
苟,gǒu,careless/frivolous/illicit/grammatical particle: if/but/if only/surname/grass name/distinguish DKW 30853 (ji4),艸,8,6,1007,2886.0,gou3,gou
蚂,mǎ,ant/leech,虫,9,6,1501,2888.0,ma3,ma
俭,jiǎn,temperate/frugal/economical,人,9,6,1567,2891.0,jian3,jian
帖,tiē,invitation card/notice,巾,8,6,1107,2892.0,tie1,tie
煎,jiān,fry in fat or oil/boil in water,火,13,6,3000,2893.0,jian1,jian
墅,shù,villa/country house,土,14,6,3102,2901.0,shu4,shu
伶,líng,lonely/solitary/actor,人,7,6,779,2906.0,ling2,ling
歹,dǎi,bad/vicious/depraved/wicked,歹,4,6,96,2905.0,dai3,dai
廓,kuò,broad/wide/open/empty/to expand,广,13,6,2989,2911.0,kuo4,kuo
讳,huì,conceal/shun/regard as taboo,言,6,6,551,2912.0,hui4,hui
瓣,bàn,petal/segment/valves,瓜,19,6,3468,2915.0,ban4,ban
枉,wǎng,useless/in vain/bent/crooked,木,8,6,1017,2918.0,wang3,wang
琢,zuó,polish jade/cut jade,玉,12,6,2503,2921.0,zhuo2,zhuo
讥,jī,ridicule/jeer/mock/inspect,言,4,6,173,2922.0,ji1,ji
呻,shēn,groan/moan/recite with intonation,口,8,6,1095,2929.0,shen1,shen
慷,kāng,ardent/generous/magnanimous,心,14,6,3170,2935.0,kang1,kang
锤,chuí,balance weight on scale/hammer,金,13,6,2940,2937.0,chui2,chui
桨,jiǎng,oar/paddle,木,10,6,2017,2939.0,jiang3,jiang
磅,bàng,pound/weigh,石,15,6,3227,2941.0,bang4,bang
馈,kuì,offer food superior/send gift,食,12,6,2724,2947.0,kui4,kui
溅,jiàn,sprinkle/spray/spill/splash,水,12,6,2760,2949.0,jian4,jian
钙,gài,calcium,金,9,6,1525,2951.0,gai4,gai
彰,zhāng,clear/manifest/obvious,彡,14,6,3149,2953.0,zhang1,zhang
眯,mī,be blinded,目,11,6,2262,2955.0,mi3,mi
墟,xū,high mound/hilly countryside/wasteland,土,14,6,3055,2958.0,xu1,xu
瞻,zhān,look/look out for/respect,目,18,6,3441,2960.0,zhan1,zhan
悼,dào,grieve/mourn/lament/grieved,心,11,6,2441,2963.0,dao4,dao
拣,jiǎn,choose/select/pick up/gather,手,8,6,961,2965.0,jian3,jian
渺,miǎo,endlessly long/boundless/vast,水,12,6,2755,2966.0,miao3,miao
汰,tài,excessive/scour/wash out,水,7,6,858,2969.0,tai4,tai
镶,xiāng,insert/inlay/set/mount/fill,金,22,6,3497,2974.0,xiang1,xiang
趴,pā,lying prone/leaning over,足,9,6,1493,2977.0,pa1,pa
酌,zhuó,serve wine/feast/deliberate,酉,10,6,1857,2984.0,zhuo2,zhuo
浊,zhuó,muddy/turbid/dirty/filthy,水,9,6,1668,2985.0,zhuo2,zhuo
撼,hàn,move/shake/(Cant.) to fight,手,16,6,3315,2987.0,han4,han
扛,káng,carry on shoulders/lift,手,6,6,354,2989.0,kang2,kang
峭,qiào,steep/precipitous/rugged,山,10,6,1919,2990.0,qiao4,qiao
磕,kē,hit/collide/knock into/sound,石,15,6,3225,2991.0,ke1,ke
翘,qiào,turn up/lift/elevate/raise,羽,12,6,2601,2992.0,qiao2,qiao
熏,xūn,smoke/fog/vapor/smoke/cure,火,14,6,3119,2997.0,xun1,xun
缀,zhuì,patch together/link/connect,糸,11,6,2499,3002.0,zhui4,zhui
徊,huái,linger/walk to and fro/hesitain,彳,9,6,1581,3003.0,huai2,huai
肪,fáng,animal fat,肉,8,6,1188,3005.0,fang2,fang
涕,tì,tear/snivel/nasal mucus,水,10,6,2083,3006.0,ti4,ti
惫,bèi,tired/weary/fatigued,夂,12,6,2722,3007.0,bei4,bei
挚,zhì,sincere/warm/cordial/surname,手,10,6,1808,3012.0,zhi4,zhi
